Sl. No,Chiller,Location,BuildingType,Make,Type
1,1,Mys,GEC,YORK,Water-Screw
2,2,Mys,GEC,YORK,Water-Screw
3,3,Mys,GEC,YORK,Water-Screw
4,4,Mys,GEC,YORK,Water-Screw
5,1,Mys,GEC,YORK,Water-Centrifugal
6,2,Mys,GEC,YORK,Water-Centrifugal
7,3,Mys,GEC,YORK,Water-Centrifugal
8,4,Mys,GEC,YORK,Water-Centrifugal
9,1,Mys,ILI,Carrier,Water-Screw
10,1,Mys,SDB,Carrier,Water-Screw
11,1,Mys,SDB,YORK,Water-Centrifugal
12,2,Mys,SDB,YORK,Water-Centrifugal
13,3,Mys,SDB,YORK,Water-Centrifugal
14,4,Mys,SDB,YORK,Water-Centrifugal
15,1,Mys,SDB,YORK,Water-Centrifugal
16,2,Mys,SDB,YORK,Water-Centrifugal
17,1,Mys,SDB,Bluebox,Air cooled Scroll
18,2,Mys,SDB,Bluebox,Air cooled Scroll
19,3,Mys,SDB,Bluebox,Air cooled Scroll
20,1,BLR,Park,YORK,Water - Screw
21,2,BLR,Park,YORK,Water - Centrifugal
22,1,BLR,Park,YORK,Water - Screw
23,2,BLR,Park,YORK,Water - Screw
24,3,BLR,Park,YORK,Water - Screw
25,4,BLR,Park,YORK,Water-Centrifugal
26,1,BLR,Park,YORK,Water
27,2,BLR,Park,YORK,Water
28,3,BLR,Park,YORK,Water
29,1,BLR,Park,YORK,Water-Centrifugal
30,2,BLR,Park,Carrier,Water-Screw
31,1,BLR,Park,YORK,Water-Centrifugal
32,2,BLR,Park,YORK,Water-Centrifugal
33,3,BLR,Park,YORK,Water-Centrifugal
34,1,BLR,Park,YORK,Water-Centrifugal
35,2,BLR,Park,YORK,Water-Centrifugal
36,3,BLR,Park,Carrier,Water-Screw
37,1,BLR,Park,YORK,Water-Centrifugal
38,2,BLR,Park,YORK,Water-Centrifugal
39,3,BLR,Park,YORK,Water-Centrifugal
40,1,BLR,MNC,Bluestar,Water-Centrifugal
41,1,Hyd ,STP,YORK,Water-Centrifugal
42,2,Hyd ,STP,YORK,Water-Centrifugal
43,3,Hyd ,STP,YORK,Water-Centrifugal
44,1,Hyd ,STP,YORK,Water-Screw
45,2,Hyd ,STP,YORK,Water-Centrifugal
46,3,Hyd ,STP,YORK,Water-Centrifugal
47,4,Hyd ,STP,YORK,Water-Centrifugal
48,1,Hyd ,Covention Plant,YORK,Water-Screw
49,1,Hyd ,Radiant Plant,YORK,Water-Centrifugal
50,1,Hyd ,Central Chiller Plant,Carrier,Water-Screw
51,2,Hyd ,Central Chiller Plant,Carrier,Water-Screw
52,3,Hyd ,Central Chiller Plant,YORK,Water-Centrifugal
53,4,Hyd ,Central Chiller Plant,YORK,Water-Centrifugal
54,5,Hyd ,Central Chiller Plant,YORK,Water-Centrifugal
55,6,Hyd ,Central Chiller Plant,YORK,Water-Centrifugal
56,1,Bhubaneshwar,Main Plant,YORK,Water-Centrifugal
57,2,Bhubaneshwar,Main Plant,YORK,Water-Centrifugal
58,3,Bhubaneshwar,Main Plant,YORK,Water-Centrifugal
59,4,Bhubaneshwar,Main Plant,YORK,Water-Centrifugal
60,1,Bhubaneshwar,K-10,Blue Star,Air cooled Scroll
61,2,Bhubaneshwar,K-10,Blue Star,Air cooled Scroll
62,3,Bhubaneshwar,K-10,Blue Star,Air cooled Scroll
63,4,Bhubaneshwar,K-10,Blue Star,Air cooled Scroll
64,1,Bhubaneshwar,ECC,Blue Star,Air cooled Scroll
65,2,Bhubaneshwar,ECC,Blue Star,Air cooled Scroll
66,1,Bhubaneshwar,CCC,YORK,Water-Screw
67,2,Bhubaneshwar,CCC,YORK,Water-Screw
68,3,Bhubaneshwar,CCC,YORK,Water-Screw
